"","Row.names","hc_sbd_c.cluster","hc_sbd_diana_c.cluster","hc_dtw_c.cluster","hc_dtw_diana_c.cluster"
"1","Afghanistan",1,1,1,1
"2","Albania",1,1,1,1
"3","Algeria",1,2,2,2
"4","Angola",1,2,2,2
"5","Antigua_and_Barbuda",1,1,1,1
"6","Argentina",1,1,1,1
"7","Armenia",1,1,1,1
"8","Australia",1,1,1,1
"9","Austria",1,1,1,1
"10","Azerbaijan",1,2,2,1
"11","Bahamas",1,1,1,1
"12","Bangladesh",1,2,2,2
"13","Barbados",1,1,1,1
"14","Belarus",1,1,1,1
"15","Belgium",1,1,1,1
"16","Belize",1,1,1,1
"17","Benin",1,2,2,2
"18","Bhutan",1,2,2,2
"19","Bolivia",1,1,1,1
"20","Bosnia_and_Herzegovina",1,1,1,1
"21","Brazil",1,2,2,2
"22","Bulgaria",1,1,1,1
"23","Burkina_Faso",1,2,2,2
"24","Burma",1,2,2,2
"25","Burundi",1,1,1,1
"26","Cabo_Verde",1,1,1,1
"27","Cambodia",1,1,1,1
"28","Cameroon",1,2,2,2
"29","Canada",1,1,1,1
"30","Central_African_Republic",1,1,1,1
"31","Chad",1,2,2,2
"32","Chile",1,2,2,2
"33","China",2,2,2,1
"34","Colombia",1,1,1,1
"35","Congo_Democratic_Republic",1,2,2,2
"36","Congo_Republic",1,2,2,2
"37","Costa_Rica",1,1,1,1
"38","Cote_d.Ivoire",1,1,1,1
"39","Croatia",1,1,1,1
"40","Cuba",1,2,2,2
"41","Czechia",1,1,1,1
"42","Czechoslovakia_former",1,1,1,1
"43","Dominica",1,1,1,1
"44","Dominican_Republic",1,1,1,1
"45","Ecuador",1,2,2,2
"46","Egypt",1,1,1,1
"47","El_Salvador",2,2,2,2
"48","Eritrea",1,2,2,2
"49","Estonia",1,1,1,1
"50","Ethiopia",1,1,1,1
"51","Fiji",1,1,1,1
"52","France",1,1,1,1
"53","Gabon",1,1,1,1
"54","Gambia",1,1,1,1
"55","Georgia",1,1,1,1
"56","Germany",1,1,1,1
"57","Ghana",1,1,1,1
"58","Greece",1,1,1,1
"59","Grenada",1,1,1,1
"60","Guatemala",1,2,2,2
"61","Guinea",1,1,1,1
"62","Guyana",1,1,1,1
"63","Haiti",1,2,2,2
"64","Honduras",1,2,2,2
"65","Hungary",1,1,1,1
"66","India",1,2,2,2
"67","Indonesia",1,1,1,1
"68","Iran",1,1,1,1
"69","Iraq",1,2,2,1
"70","Ireland",1,1,1,1
"71","Israel",1,1,1,1
"72","Italy",1,1,1,1
"73","Jamaica",1,1,1,1
"74","Japan",1,1,1,1
"75","Jordan",1,2,1,1
"76","Kazakhstan",1,1,1,1
"77","Kenya",1,1,1,1
"78","Kosovo",1,2,2,2
"79","Kuwait",1,2,2,2
"80","Kyrgyzstan",1,1,1,1
"81","Laos",1,1,1,1
"82","Latvia",1,1,1,1
"83","Lebanon",1,1,1,1
"84","Liberia",1,1,1,1
"85","Libya",1,1,2,1
"86","Lithuania",1,1,1,1
"87","Malawi",1,1,1,1
"88","Malaysia",1,1,1,1
"89","Mali",1,1,1,1
"90","Marshall_Islands",1,2,2,2
"91","Mauritania",1,2,2,2
"92","Mexico",1,1,1,1
"93","Micronesia",1,1,1,1
"94","Moldova",1,1,1,1
"95","Mongolia",1,1,1,1
"96","Montenegro",1,2,1,2
"97","Morocco",1,1,1,1
"98","Nepal",1,2,2,2
"99","Netherlands",1,1,1,1
"100","New_Zealand",1,1,1,1
"101","Nicaragua",1,2,2,2
"102","Niger",1,1,1,1
"103","Nigeria",1,2,2,2
"104","North_Macedonia",1,1,1,1
"105","Pakistan",1,1,1,1
"106","Palau",1,1,1,1
"107","Panama",1,1,1,1
"108","Paraguay",1,1,1,1
"109","Peru",1,1,1,1
"110","Philippines",1,1,1,1
"111","Poland",1,1,1,1
"112","Portugal",1,1,1,1
"113","Romania",1,2,2,2
"114","Russia",1,1,1,1
"115","Rwanda",1,2,2,2
"116","Saint_Kitts_and_Nevis",1,1,1,1
"117","Saint_Lucia",1,1,1,1
"118","Saint_Vincent_and_the_Grenadines",1,1,1,1
"119","Samoa",1,1,1,1
"120","Saudi_Arabia",1,1,2,1
"121","Senegal",1,1,1,1
"122","Serbia",1,2,2,2
"123","Serbia_and_Montenegro_former",1,1,1,1
"124","Sierra_Leone",1,1,1,1
"125","Singapore",1,1,1,1
"126","Slovakia",1,1,1,1
"127","Somalia",1,1,1,1
"128","South_Africa",1,1,1,1
"129","South_Korea",1,1,1,1
"130","South_Sudan",1,2,2,2
"131","Soviet_Union_former",1,1,1,1
"132","Spain",1,2,2,2
"133","Sri_Lanka",1,2,2,2
"134","Sudan",1,1,1,1
"135","Suriname",1,1,1,1
"136","Sweden",1,1,1,1
"137","Switzerland",1,1,1,1
"138","Syria",1,1,1,1
"139","Taiwan",1,1,1,1
"140","Tajikistan",1,1,1,1
"141","Tanzania",1,1,1,1
"142","Thailand",1,1,1,1
"143","Togo",1,1,1,1
"144","Tonga",1,1,1,1
"145","Trinidad_and_Tobago",1,1,1,1
"146","Tunisia",1,1,1,1
"147","Turkey",1,2,2,1
"148","Turkmenistan",1,1,1,1
"149","Uganda",1,1,1,1
"150","Ukraine",1,1,1,1
"151","United_Arab_Emirates",1,2,2,1
"152","United_Kingdom",1,1,1,1
"153","Uruguay",1,1,1,1
"154","Uzbekistan",1,2,2,1
"155","Venezuela",1,2,2,2
"156","Vietnam",1,1,1,1
"157","Yemen",1,2,2,2
"158","Zambia",1,1,1,1
"159","Zimbabwe",1,1,1,1
