"","Row.names","hc_sbd_c.cluster","hc_sbd_diana_c.cluster","hc_dtw_c.cluster","hc_dtw_diana_c.cluster"
"1","Afghanistan",1,1,1,1
"2","Albania",1,1,2,2
"3","Algeria",1,1,1,1
"4","American_Samoa",1,2,2,1
"5","Angola",1,1,2,2
"6","Anguilla",1,2,2,2
"7","Antigua_and_Barbuda",1,2,2,2
"8","Argentina",1,2,2,2
"9","Armenia",1,1,2,2
"10","Aruba",1,2,1,1
"11","Australia",1,1,1,1
"12","Austria",1,1,2,2
"13","Azerbaijan",1,1,2,2
"14","Bahamas",1,2,2,2
"15","Bahrain",1,2,1,1
"16","Bangladesh",1,2,2,2
"17","Barbados",1,2,2,2
"18","Belarus",1,1,2,2
"19","Belgium",1,2,2,2
"20","Belize",1,2,2,1
"21","Benin",1,1,1,1
"22","Bermuda",1,2,2,1
"23","Bhutan",1,1,1,1
"24","Bolivia",1,2,2,2
"25","Bosnia_and_Herzegovina",1,1,2,2
"26","Botswana",1,1,1,1
"27","Brazil",1,2,2,2
"28","Brunei",1,1,1,1
"29","Bulgaria",1,1,2,2
"30","Burkina_Faso",1,1,1,1
"31","Burma",1,1,1,1
"32","Burundi",1,1,1,1
"33","Cabo_Verde",1,1,2,1
"34","Cambodia",1,1,2,2
"35","Cameroon",1,2,1,1
"36","Canada",1,2,1,1
"37","Cayman_Islands",1,2,1,1
"38","Central_African_Republic",1,1,1,1
"39","Chad",1,1,1,1
"40","Chile",1,2,2,1
"41","China",1,1,2,1
"42","Colombia",1,1,2,2
"43","Congo_Democratic_Republic",1,1,1,1
"44","Congo_Republic",1,1,2,2
"45","Costa_Rica",1,1,2,1
"46","Cote_d.Ivoire",1,1,1,1
"47","Croatia",1,1,2,2
"48","Cuba",1,1,1,1
"49","Curacao",1,1,1,1
"50","Cyprus",2,2,2,2
"51","Czechia",1,1,2,1
"52","Czechoslovakia_former",1,2,2,2
"53","Denmark",1,1,1,1
"54","Djibouti",1,1,1,1
"55","Dominica",1,2,2,2
"56","Dominican_Republic",1,2,2,2
"57","Ecuador",1,2,2,2
"58","Egypt",1,2,1,1
"59","El_Salvador",1,2,2,1
"60","Equatorial_Guinea",1,2,1,1
"61","Eritrea",1,1,1,1
