Year,Number
1925,22199
1926,12735
1927,16393
1928,23566
1929,32711
1930,20880
1931,22276
1932,22735
1933,20949
1934,10319
1935,11016
1936,11728
1937,13054
1938,12851
1939,12037
1940,10492
1941,11294
1942,11784
1943,11175
1944,31174
1945,69164
1946,99591
1947,193657
1948,192779
1949,288253
1950,468339
1951,509040
1952,543535
1953,885587
1954,1089583
1955,254096
1956,87696
1957,59918
1958,53474
1959,45336
1960,70684
1961,88823
1962,92758
1963,88712
1964,86597
1965,110371
1966,138520
1967,161608
1968,212057
1969,283557
1970,345353
1971,420126
1972,505949
1973,655968
1974,788145
1975,766600
1976,1097739
1977,1042215
1978,1057977
1979,1076418
1980,910361
1981,975780
1982,970246
1983,1251357
1984,1246981
1985,1348749
1986,1767400
1987,1190488
1988,1008145
1989,954243
1990,1169939
1991,1197875
1992,1258481
1993,1327261
1994,1094719
1995,1394554
1996,1649986
1997,1536520
1998,1679439
1999,1714035
2000,1814729
2001,1387486
2002,1062270
2003,1046422
2004,1264232
2005,1291065
2006,1206408
2007,960673
2008,1043759
2009,889212
2010,796587
2011,678606
2012,671327
2013,662483
2014,679996
2015,462388
2016,530250
2017,461540
2018,572566
2019,1013539
2020,518597
