"","Row.names","hc_sbd_c.cluster","hc_sbd_diana_c.cluster","hc_dtw_c.cluster","hc_dtw_diana_c.cluster"
"1","Afghanistan",1,1,1,1
"2","Albania",1,2,1,1
"3","Algeria",1,1,1,1
"4","Angola",1,1,1,1
"5","Anguilla",1,1,2,2
"6","Antigua_and_Barbuda",1,1,2,2
"7","Argentina",1,1,2,2
"8","Armenia",1,2,2,1
"9","Aruba",1,2,2,2
"10","Australia",1,2,1,1
"11","Austria",1,1,2,2
"12","Azerbaijan",1,1,1,1
"13","Bahamas",1,1,1,1
"14","Bahrain",1,1,1,1
"15","Bangladesh",1,2,2,2
"16","Barbados",1,1,2,2
"17","Belarus",2,2,1,1
"18","Belgium",2,2,1,1
"19","Belize",1,1,2,2
"20","Benin",1,1,1,1
"21","Bermuda",1,2,1,1
"22","Bhutan",1,1,2,2
"23","Bolivia",1,1,2,2
"24","Bosnia_and_Herzegovina",1,2,2,2
"25","Botswana",1,2,1,2
"26","Brazil",1,1,1,1
"27","Brunei",1,2,2,2
"28","Bulgaria",1,1,2,2
"29","Burkina_Faso",2,2,1,1
"30","Burma",1,1,2,2
"31","Burundi",1,1,1,1
"32","Cabo_Verde",1,2,2,1
"33","Cambodia",1,2,2,1
"34","Cameroon",1,2,2,2
"35","Canada",1,1,2,2
"36","Cayman_Islands",1,1,1,1
"37","Central_African_Republic",1,1,1,1
"38","Chad",1,2,1,1
"39","Chile",1,1,2,2
"40","China",1,1,2,2
"41","Colombia",1,1,2,2
"42","Comoros",2,2,2,2
"43","Congo_Democratic_Republic",1,1,1,1
"44","Congo_Republic",1,1,2,2
"45","Costa_Rica",1,2,2,2
"46","Cote_d.Ivoire",2,2,2,2
"47","Croatia",1,2,2,2
"48","Cuba",1,2,2,1
"49","Curacao",1,1,1,1
"50","Cyprus",1,2,1,1
"51","Czechia",2,2,1,2
"52","Czechoslovakia_former",1,1,2,2
"53","Denmark",1,2,2,2
"54","Djibouti",1,2,1,1
"55","Dominica",1,1,1,1
"56","Dominican_Republic",1,2,2,1
"57","Ecuador",1,2,2,2
"58","Egypt",1,2,2,1
"59","El_Salvador",1,1,1,1
"60","Equatorial_Guinea",1,1,1,1
"61","Eritrea",1,2,2,1
"62","Estonia",1,1,2,2
"63","Eswatini",1,1,1,1
"64","Ethiopia",1,1,2,2
"65","Fiji",1,1,2,2
"66","Finland",1,2,1,1
"67","France",1,2,1,1
"68","French_Polynesia",1,2,2,2
"69","Gabon",1,1,2,2
"70","Gambia",1,2,2,2
"71","Georgia",1,2,2,1
"72","Germany",1,1,2,2
"73","Ghana",1,1,2,2
"74","Greece",1,2,1,1
"75","Grenada",1,1,2,2
"76","Guatemala",1,2,2,1
"77","Guinea",1,1,2,2
"78","Guinea.Bissau",2,2,1,1
"79","Guyana",1,1,2,2
"80","Haiti",1,2,2,2
"81","Honduras",1,1,1,1
"82","Hong_Kong",1,2,2,2
"83","Hungary",1,1,2,2
"84","Iceland",1,1,1,2
"85","India",1,1,2,2
"86","Indonesia",1,1,2,2
"87","Iran",1,1,2,2
"88","Iraq",1,1,2,2
"89","Ireland",2,2,1,1
"90","Israel",2,2,1,1
"91","Italy",1,1,1,1
"92","Jamaica",1,2,2,2
"93","Japan",1,1,2,2
"94","Jordan",1,2,2,1
"95","Kazakhstan",1,1,1,1
"96","Kenya",1,2,2,2
"97","Kosovo",1,2,1,1
"98","Kuwait",1,2,2,1
"99","Kyrgyzstan",1,2,1,1
"100","Laos",1,1,2,2
"101","Latvia",1,1,2,2
"102","Lebanon",1,1,2,2
"103","Lesotho",1,2,2,2
"104","Liberia",1,1,2,2
"105","Libya",1,1,1,1
"106","Lithuania",1,1,2,2
"107","Luxembourg",2,2,1,1
"108","Macau",1,1,2,2
"109","Madagascar",1,2,2,2
"110","Malawi",1,1,1,1
"111","Malaysia",1,2,2,1
"112","Maldives",1,2,1,1
"113","Mali",1,1,2,2
"114","Malta",1,2,1,1
"115","Marshall_Islands",1,1,2,2
"116","Mauritania",1,1,2,2
"117","Mauritius",1,2,2,2
"118","Mexico",1,2,2,1
"119","Micronesia",1,1,1,1
"120","Moldova",1,2,2,2
"121","Monaco",1,1,1,1
"122","Mongolia",1,2,2,2
"123","Montenegro",1,1,1,1
"124","Montserrat",2,2,2,2
"125","Morocco",1,2,2,2
"126","Mozambique",1,2,1,1
"127","Namibia",1,1,1,1
"128","Nepal",1,1,2,2
"129","Netherlands",1,2,2,1
"130","Netherlands_Antilles_former",1,1,2,2
"131","New_Zealand",1,1,2,2
"132","Nicaragua",1,2,2,2
"133","Niger",1,1,1,1
"134","Nigeria",1,2,1,1
"135","North_Korea",1,1,1,1
"136","North_Macedonia",1,2,2,2
"137","Norway",1,2,2,2
"138","Oman",1,1,1,1
"139","Pakistan",1,2,2,2
"140","Palau",2,2,2,1
"141","Panama",1,1,2,2
"142","Papua_New_Guinea",1,2,2,1
"143","Paraguay",1,1,2,2
"144","Peru",1,1,2,2
"145","Philippines",1,1,2,2
"146","Poland",1,1,2,2
"147","Portugal",1,2,2,1
"148","Qatar",1,1,1,1
"149","Romania",1,1,2,2
"150","Russia",2,2,1,2
"151","Rwanda",1,1,1,1
